college_id,college_name,course_type,category,region,city,avg_fee_annual,admission_mode,admission_difficulty,is_government,is_private,courses_offered,original_fee_structure,address
MED001,"Government Medical College, Jammu",MBBS,Government,Jammu,Jammu,1400,NEET-UG,4,1,0,MBBS,"1,400 (Annual)","Gujjar Nagar, Jammu, J&K - 180001"
MED002,"Government Medical College, Srinagar",MBBS,Government,Kashmir,Srinagar,1400,NEET-UG,4,1,0,MBBS,"1,400 (Annual)","Karan Nagar, Srinagar, J&K - 190010"
MED003,"Government Medical College, Anantnag",MBBS,Government,Kashmir,Anantnag,1400,NEET-UG,4,1,0,MBBS,"1,400 (Annual)","Anantnag, J&K - 192101"
MED004,"Government Medical College, Rajouri",MBBS,Government,Jammu,Rajouri,1400,NEET-UG,4,1,0,MBBS,"1,400 (Annual)","Rajouri, J&K - 185131"
MED005,"Government Medical College, Doda",MBBS,Government,Jammu,Doda,1400,NEET-UG,4,1,0,MBBS,"1,400 (Annual)","Doda, J&K - 182202"
ENG001,"National Institute of Technology, Srinagar",B.Tech,Government,Kashmir,Srinagar,553000,JEE Main + JoSAA,4,1,0,BTech Engineering,5.53-6.03 Lakh (4 years),"Hazratbal, Srinagar, J&K - 190006"
ENG002,"Islamic University of Science & Technology, Awantipora",B.Tech,Private,Kashmir,Awantipora,400000,JEE Main/IUST Entrance,3,0,1,BTech Engineering,4-5 Lakh/year,"Awantipora, Kashmir, J&K - 192122"
ENG003,"SSM College of Engineering & Technology, Baramulla",B.Tech,Private,Kashmir,Baramulla,350000,JEE Main/State Entrance,3,0,1,BTech Engineering,3.5-4 Lakh/year,"Baramulla, Kashmir, J&K - 193101"
ENG004,"Government College of Engineering & Technology, Jammu",B.Tech,Government,Jammu,Jammu,75000,JEE Main/State Entrance,3,1,0,BTech Engineering,"75,000/year","Chak Bhalwal, Jammu, J&K - 181122"
ENG005,"Baba Ghulam Shah Badshah University, Rajouri",B.Tech,Government,Jammu,Rajouri,80000,University Entrance,2,1,0,BTech Engineering,"80,000/year","Rajouri, J&K - 185234"
ART001,"Government Gandhi Memorial Science College, Jammu",BA,Government,Jammu,Jammu,5118,CUET/Merit-based,2,1,0,BA in multiple subjects,"5,028-5,208 (Annual)","Canal Road, Jammu, J&K - 180001"
ART002,"Government M.A.M. College, Jammu",BA,Government,Jammu,Jammu,5118,CUET/Merit-based,2,1,0,BA in multiple subjects,"5,028-5,208 (Annual)","Gandhi Nagar, Jammu, J&K - 180004"
ART003,"S.P. College, Srinagar",BA,Government,Kashmir,Srinagar,6000,Merit-based,2,1,0,BA in multiple subjects,"6,000 (Annual)","M.A. Road, Srinagar, J&K - 190001"
ART004,"Government Degree College, Baramulla",BA,Government,Kashmir,Baramulla,5500,Merit-based,2,1,0,BA in multiple subjects,"5,500 (Annual)","Baramulla, Kashmir, J&K - 193101"
ART005,"Government Degree College, Anantnag",BA,Government,Kashmir,Anantnag,5500,Merit-based,2,1,0,BA in multiple subjects,"5,500 (Annual)","Anantnag, J&K - 192101"
COM001,"Government Gandhi Memorial Science College, Jammu",B.Com,Government,Jammu,Jammu,6500,CUET/Merit-based,2,1,0,B.Com variants,"5,000-8,000 (Annual)","Canal Road, Jammu, J&K - 180001"
COM002,"Government College for Women, M.A. Road Srinagar",B.Com,Government,Kashmir,Srinagar,7000,Merit-based,2,1,0,B.Com,"7,000 (Annual)","M.A. Road, Srinagar, J&K - 190001"
COM003,"Kashmir University, South Campus",B.Com,Government,Kashmir,Anantnag,8000,University Entrance,2,1,0,B.Com,"8,000 (Annual)","Anantnag, J&K - 192101"
COM004,"Government Degree College, Udhampur",B.Com,Government,Jammu,Udhampur,6000,Merit-based,2,1,0,B.Com,"6,000 (Annual)","Udhampur, J&K - 182101"
COM005,"Government Degree College, Kathua",B.Com,Government,Jammu,Kathua,6000,Merit-based,2,1,0,B.Com,"6,000 (Annual)","Kathua, J&K - 184104"
SCI001,"Government Gandhi Memorial Science College, Jammu",B.Sc,Government,Jammu,Jammu,6500,CUET/Merit-based,2,1,0,BSc in multiple subjects,"5,000-8,000 (Annual)","Canal Road, Jammu, J&K - 180001"
SCI002,"S.P. College, Srinagar",B.Sc,Government,Kashmir,Srinagar,7000,Merit-based,2,1,0,BSc in multiple subjects,"7,000 (Annual)","M.A. Road, Srinagar, J&K - 190001"
SCI003,"Government Degree College, Baramulla",B.Sc,Government,Kashmir,Baramulla,6500,Merit-based,2,1,0,BSc in multiple subjects,"6,500 (Annual)","Baramulla, Kashmir, J&K - 193101"
SCI004,"Cluster University, Srinagar",B.Sc,Government,Kashmir,Srinagar,8000,University Entrance,2,1,0,BSc in multiple subjects,"8,000 (Annual)","Srinagar, J&K - 190006"
SCI005,"Government Degree College, Rajouri",B.Sc,Government,Jammu,Rajouri,6000,Merit-based,2,1,0,BSc in multiple subjects,"6,000 (Annual)","Rajouri, J&K - 185131"
MAN001,Central University of Jammu,BBA,Government,Jammu,Jammu,24430,CUET-UG,3,1,0,BBA,"24,430 (1st Year)","Bagla, Rahya-Suchani, Jammu, J&K - 181143"
MAN002,University of Kashmir,BBA,Government,Kashmir,Srinagar,25000,University Entrance,3,1,0,BBA,"25,000/year","Hazratbal, Srinagar, J&K - 190006"
MAN003,Islamic University of Science & Technology,BBA,Private,Kashmir,Awantipora,180000,IUST Entrance,3,0,1,BBA,1.8 Lakh/year,"Awantipora, Kashmir, J&K - 192122"
MAN004,Jammu University,BBA,Government,Jammu,Jammu,22000,University Entrance,3,1,0,BBA,"22,000/year","Jammu Tawi, J&K - 180006"
MAN005,"BGSB University, Rajouri",BBA,Government,Jammu,Rajouri,20000,University Entrance,2,1,0,BBA,"20,000/year","Rajouri, J&K - 185234"
PHR001,"Government College of Pharmacy, Srinagar",B.Pharm,Government,Kashmir,Srinagar,30000,CUET/Merit-based,2,1,0,B.Pharm,"30,000 (Annual)","M.A. Road, Srinagar, J&K - 190001"
PHR002,Shri Guru Ram Rai Institute of Medical & Health Sciences,B.Pharm,Private,Jammu,Jammu,250000,Entrance Test,3,0,1,B.Pharm,2.5 Lakh/year,"Jammu, J&K - 180001"
PHR003,"Lovely Professional University, Phagwara (J&K Campus)",B.Pharm,Private,Jammu,Jammu,300000,LPU NEST,3,0,1,B.Pharm,3 Lakh/year,"Jammu Region, J&K"
PHR004,Kashmir University School of Pharmacy,B.Pharm,Government,Kashmir,Srinagar,35000,University Entrance,3,1,0,B.Pharm,"35,000/year","Hazratbal, Srinagar, J&K - 190006"
PHR005,ASCOMS College of Pharmacy,B.Pharm,Private,Jammu,Jammu,200000,Entrance Test,3,0,1,B.Pharm,2 Lakh/year,"Sidhra, Jammu, J&K - 180017"
COL101,"Government Degree College, Jammu",BA,Government,Jammu,Jammu,5500,Merit-based,2,1,0,BA programs,"5,500 (Annual)","Jammu, J&K"
COL102,"Government Degree College, Jammu",B.Com,Government,Jammu,Jammu,6000,Merit-based,2,1,0,B.Com programs,"6,000 (Annual)","Jammu, J&K"
COL103,"Government Degree College, Jammu",B.Sc,Government,Jammu,Jammu,6500,Merit-based,2,1,0,B.Sc programs,"6,500 (Annual)","Jammu, J&K"
COL104,"Private College of Science, Jammu",B.Sc,Private,Jammu,Jammu,45000,Merit-based,2,0,1,B.Sc programs,"45,000 (Annual)","Jammu, J&K"
COL105,"Private Commerce College, Jammu",B.Com,Private,Jammu,Jammu,35000,Merit-based,2,0,1,B.Com programs,"35,000 (Annual)","Jammu, J&K"
COL106,"Private Arts College, Jammu",BA,Private,Jammu,Jammu,30000,Merit-based,2,0,1,BA programs,"30,000 (Annual)","Jammu, J&K"
COL107,"Government Degree College, Udhampur",BA,Government,Jammu,Udhampur,5500,Merit-based,2,1,0,BA programs,"5,500 (Annual)","Udhampur, J&K"
COL108,"Government Degree College, Udhampur",B.Com,Government,Jammu,Udhampur,6000,Merit-based,2,1,0,B.Com programs,"6,000 (Annual)","Udhampur, J&K"
COL109,"Government Degree College, Udhampur",B.Sc,Government,Jammu,Udhampur,6500,Merit-based,2,1,0,B.Sc programs,"6,500 (Annual)","Udhampur, J&K"
COL110,"Private College of Science, Udhampur",B.Sc,Private,Jammu,Udhampur,45000,Merit-based,2,0,1,B.Sc programs,"45,000 (Annual)","Udhampur, J&K"
COL111,"Private Commerce College, Udhampur",B.Com,Private,Jammu,Udhampur,35000,Merit-based,2,0,1,B.Com programs,"35,000 (Annual)","Udhampur, J&K"
COL112,"Private Arts College, Udhampur",BA,Private,Jammu,Udhampur,30000,Merit-based,2,0,1,BA programs,"30,000 (Annual)","Udhampur, J&K"
COL113,"Government Degree College, Kathua",BA,Government,Jammu,Kathua,5500,Merit-based,2,1,0,BA programs,"5,500 (Annual)","Kathua, J&K"
COL114,"Government Degree College, Kathua",B.Com,Government,Jammu,Kathua,6000,Merit-based,2,1,0,B.Com programs,"6,000 (Annual)","Kathua, J&K"
COL115,"Government Degree College, Kathua",B.Sc,Government,Jammu,Kathua,6500,Merit-based,2,1,0,B.Sc programs,"6,500 (Annual)","Kathua, J&K"
COL116,"Private College of Science, Kathua",B.Sc,Private,Jammu,Kathua,45000,Merit-based,2,0,1,B.Sc programs,"45,000 (Annual)","Kathua, J&K"
